label	mode	rtt	cap_bps	mbps	wall_mbps	elapsed_ms	go_cpu_s	go_cores	chrome_cores	sent_bytes	received_bytes	shim_fwd	shim_drop	shim_write_err	dg_per_mib	wire_ratio	dgram_bytes	cs_per_gb	cores_per_100mbps	ceil_mbps
e22-sanity-raw-rtt71	raw	71	0	126.68	122.87	2119	1.4412	0.6801	0.2958	33554432	33554432	45676	0	0	1427.4	1.0615	734.6	42.9501	0.53688	289.2
e22-prod-rtt12-cap5MB-r1	prod	12	5000000	37.25	37.25	14414	3.8215	0.2651	0.1532	67108864	67108864	86085	0	0	1345.1	1.0003	779.6	56.9452	0.71182	45.2
e22-prod-rtt12-cap10MB-r1	prod	12	10000000	74.94	74.94	7164	3.3627	0.4694	0.2639	67108864	67108864	86068	0	0	1344.8	1.0001	779.7	50.1078	0.62635	88.0
e22-prod-rtt12-cap20MB-r1	prod	12	20000000	151.42	151.42	3546	3.1014	0.8747	0.4887	67108864	67108864	86062	0	0	1344.7	1.0000	779.8	46.2142	0.57768	174.2
e22-prod-rtt12-cap30MB-r1	prod	12	30000000	229.10	229.10	2343	3.1751	1.3549	0.7001	67108864	67108864	86061	0	0	1344.7	1.0000	779.8	47.3129	0.59141	254.6
e22-prod-rtt71-cap5MB-r1	prod	71	5000000	36.91	36.91	14547	3.6934	0.2539	0.1443	67108864	67108864	86082	0	0	1345.0	1.0002	779.6	55.0355	0.68794	42.0
e22-prod-rtt71-cap10MB-r1	prod	71	10000000	72.99	72.99	7356	3.2554	0.4426	0.2344	67108864	67108864	86070	0	0	1344.8	1.0001	779.7	48.5098	0.60637	85.8
e22-prod-rtt71-cap20MB-r1	prod	71	20000000	29.84	29.84	17991	3.5586	0.1978	0.0934	67108864	67108864	86660	0	0	1354.1	1.0070	774.4	53.0266	0.66283	47.2
e22-prod-rtt71-cap30MB-r1	prod	71	30000000	204.58	204.58	2624	2.6616	1.0143	0.4973	67108864	67108864	86062	0	0	1344.7	1.0000	779.8	39.6612	0.49577	267.6
e22-prod-rtt12-cap5MB-r2	prod	12	5000000	37.25	37.25	14414	3.8668	0.2683	0.1606	67108864	67108864	86081	0	0	1345.0	1.0002	779.6	57.6205	0.72026	45.2
e22-prod-rtt12-cap10MB-r2	prod	12	10000000	74.94	74.94	7164	3.6246	0.5060	0.2513	67108864	67108864	86068	0	0	1344.8	1.0001	779.7	54.0103	0.67513	82.6
e22-prod-rtt12-cap20MB-r2	prod	12	20000000	151.48	151.48	3544	3.1192	0.8801	0.4937	67108864	67108864	86063	0	0	1344.7	1.0000	779.8	46.4796	0.58099	172.0
e22-prod-rtt12-cap30MB-r2	prod	12	30000000	229.11	229.11	2343	3.0681	1.3093	0.6926	67108864	67108864	86061	0	0	1344.7	1.0000	779.8	45.7177	0.57147	246.4
e22-prod-rtt71-cap5MB-r2	prod	71	5000000	32.70	32.70	16416	3.5205	0.2145	0.1038	67108864	67108864	86201	0	0	1346.9	1.0016	778.5	52.4594	0.65574	39.8
e22-prod-rtt71-cap10MB-r2	prod	71	10000000	72.98	72.98	7356	3.4147	0.4642	0.2485	67108864	67108864	86071	0	0	1344.9	1.0001	779.7	50.8834	0.63604	85.8
e22-prod-rtt71-cap20MB-r2	prod	71	20000000	141.37	141.37	3798	2.9244	0.7701	0.4154	67108864	67108864	86065	0	0	1344.8	1.0000	779.7	43.5771	0.54471	176.2
e22-prod-rtt71-cap30MB-r2	prod	71	30000000	204.48	204.48	2626	2.8739	1.0946	0.5407	67108864	67108864	86062	0	0	1344.7	1.0000	779.8	42.8238	0.53530	251.8
e22-prod-rtt12-cap5MB-r3	prod	12	5000000	37.25	37.25	14413	3.7536	0.2604	0.1620	67108864	67108864	86081	0	0	1345.0	1.0002	779.6	55.9324	0.69916	44.2
e22-prod-rtt12-cap10MB-r3	prod	12	10000000	74.91	74.91	7167	3.4157	0.4766	0.2636	67108864	67108864	86069	0	0	1344.8	1.0001	779.7	50.8977	0.63622	87.0
e22-prod-rtt12-cap20MB-r3	prod	12	20000000	151.43	151.43	3545	3.0553	0.8618	0.4964	67108864	67108864	86062	0	0	1344.7	1.0000	779.8	45.5276	0.56909	172.0
e22-prod-rtt12-cap30MB-r3	prod	12	30000000	229.20	229.20	2342	2.9944	1.2783	0.6940	67108864	67108864	86061	0	0	1344.7	1.0000	779.8	44.6196	0.55774	247.2
e22-prod-rtt71-cap5MB-r3	prod	71	5000000	36.91	36.91	14545	3.8244	0.2629	0.1550	67108864	67108864	86086	0	0	1345.1	1.0003	779.6	56.9881	0.71235	41.2
e22-prod-rtt71-cap10MB-r3	prod	71	10000000	72.59	72.59	7396	3.3022	0.4465	0.2161	67108864	67108864	86786	0	0	1356.0	1.0084	773.3	49.2070	0.61509	91.0
e22-prod-rtt71-cap20MB-r3	prod	71	20000000	141.38	141.38	3797	2.9715	0.7825	0.4065	67108864	67108864	86064	0	0	1344.8	1.0000	779.8	44.2785	0.55348	175.2
e22-prod-rtt71-cap30MB-r3	prod	71	30000000	204.33	204.33	2628	2.8449	1.0827	0.5373	67108864	67108864	86061	0	0	1344.7	1.0000	779.8	42.3920	0.52990	260.2
e22-prod-rtt12-uncap-r1	prod	12	0	521.54	521.54	1029	3.4962	3.3964	1.1667	67108864	67108864	88366	0	0	1380.7	1.0268	759.4	52.0976	0.65122	550.6
e22-prod-rtt71-uncap-r1	prod	71	0	170.41	170.41	3150	2.8163	0.8940	0.3360	67108864	67108864	89514	0	0	1398.7	1.0401	749.7	41.9663	0.52458	355.4
e22-prod-rtt12-uncap-r2	prod	12	0	530.66	530.66	1012	3.3411	3.3025	1.1495	67108864	67108864	86058	0	0	1344.7	1.0000	779.8	49.7863	0.62233	565.0
e22-prod-rtt71-uncap-r2	prod	71	0	13.47	13.47	39860	3.9029	0.0979	0.0452	67108864	67108864	87049	0	0	1360.1	1.0115	770.9	58.1582	0.72698	40.8
e22-prod-rtt12-uncap-r3	prod	12	0	533.35	533.35	1007	3.3797	3.3575	1.1429	67108864	67108864	86058	0	0	1344.7	1.0000	779.8	50.3611	0.62951	553.8
e22-prod-rtt71-uncap-r3	prod	71	0	36.54	36.54	14691	3.1431	0.2139	0.1000	67108864	67108864	89915	0	0	1404.9	1.0448	746.4	46.8356	0.58544	327.0
e22-prod-sz16MiB-rtt12-cap30MB-r1	prod	12	30000000	251.06	251.06	535	0.6644	1.2428	0.4992	16777216	16777216	22096	0	0	1381.0	1.0270	759.3	39.6008	0.49501	244.2
e22-prod-sz32MiB-rtt12-cap30MB-r1	prod	12	30000000	236.88	236.88	1133	1.4627	1.2907	0.6215	33554432	33554432	43049	0	0	1345.3	1.0004	779.4	43.5904	0.54488	247.2
e22-prod-sz128MiB-rtt12-cap30MB-r1	prod	12	30000000	225.05	225.05	4771	5.9749	1.2523	0.6962	134217728	134217728	172084	0	0	1344.4	0.9998	780.0	44.5163	0.55645	251.4
e22-prod-sz16MiB-rtt12-cap30MB-r2	prod	12	30000000	254.44	254.44	528	0.7258	1.3759	0.5426	16777216	16777216	21543	0	0	1346.4	1.0013	778.8	43.2600	0.54075	244.4
e22-prod-sz32MiB-rtt12-cap30MB-r2	prod	12	30000000	237.13	237.13	1132	1.5397	1.3601	0.6277	33554432	33554432	43049	0	0	1345.3	1.0004	779.4	45.8859	0.57357	248.4
e22-prod-sz128MiB-rtt12-cap30MB-r2	prod	12	30000000	225.07	225.07	4771	5.8400	1.2241	0.6915	134217728	134217728	172085	0	0	1344.4	0.9998	780.0	43.5116	0.54389	255.6
e22-tail-raw-rtt71	raw	71	0	38.45	38.19	6982	1.5470	0.2216	0.0979	33554432	33554432	44907	0	0	1403.3	1.0436	747.2	46.1052	0.57631	144.4
e22-tail-prod-rtt12-uncap	prod	12	0	528.26	528.26	1016	3.4617	3.4062	1.1530	67108864	67108864	87869	0	0	1373.0	1.0210	763.7	51.5833	0.64479	559.8
