label	mode	rtt	cap_bps	mbps	wall_mbps	elapsed_ms	go_cpu_s	go_cores	chrome_cores	sent_bytes	received_bytes	shim_fwd	shim_drop	shim_write_err	dg_per_mib	wire_ratio	dgram_bytes	cs_per_gb	cores_per_100mbps	ceil_mbps
e23-sanity-raw-rtt71	raw	71	0	10.72	10.70	25041	2.3065	0.0921	0.0483	33554432	33554432	43736	0	0	1366.8	1.0164	767.2	68.7397	0.85925	22.8
e23-sanity-raw-rtt71-b	raw	71	0	13.72	13.66	19568	2.2258	0.1137	0.0569	33554432	33554432	44437	0	0	1388.7	1.0327	755.1	66.3331	0.82916	75.6
e23-prod-rtt12-cap10MB-r1	prod	12	10000000	74.93	74.93	7165	4.1944	0.5854	0.2917	67108864	67108864	86068	0	0	1344.8	1.0001	779.7	62.5015	0.78127	81.6
e23-raw64-rtt12-cap10MB-r1	raw	12	10000000	74.85	74.26	7173	3.6220	0.5050	0.2643	67108864	67108864	86063	0	0	1344.7	1.0000	779.8	53.9723	0.67465	81.6
e23-prod-rtt71-cap10MB-r1	prod	71	10000000	72.97	72.97	7357	3.8394	0.5218	0.2597	67108864	67108864	86071	0	0	1344.9	1.0001	779.7	57.2112	0.71514	81.8
e23-raw64-rtt71-cap10MB-r1	raw	71	10000000	72.50	71.83	7405	3.2946	0.4449	0.2267	67108864	67108864	86067	0	0	1344.8	1.0001	779.7	49.0935	0.61367	86.0
e23-prod-rtt12-cap10MB-r2	prod	12	10000000	74.80	74.80	7177	3.4596	0.4820	0.2401	67108864	67108864	86223	0	0	1347.2	1.0019	778.3	51.5526	0.64441	82.8
e23-raw64-rtt12-cap10MB-r2	raw	12	10000000	51.61	51.12	10403	3.3335	0.3204	0.1253	67108864	67108864	86846	0	0	1357.0	1.0091	772.7	49.6729	0.62091	73.6
e23-prod-rtt71-cap10MB-r2	prod	71	10000000	72.95	72.95	7359	3.7038	0.5033	0.2509	67108864	67108864	86070	0	0	1344.8	1.0001	779.7	55.1916	0.68989	84.8
e23-raw64-rtt71-cap10MB-r2	raw	71	10000000	18.71	18.67	28696	4.0413	0.1408	0.0635	67108864	67108864	87868	0	0	1372.9	1.0210	763.7	60.2197	0.75275	96.4
e23-prod-rtt12-cap10MB-r3	prod	12	10000000	74.93	74.93	7165	4.1912	0.5850	0.3015	67108864	67108864	86069	0	0	1344.8	1.0001	779.7	62.4531	0.78066	89.0
e23-raw64-rtt12-cap10MB-r3	raw	12	10000000	74.86	74.32	7172	3.4645	0.4831	0.2631	67108864	67108864	86063	0	0	1344.7	1.0000	779.8	51.6246	0.64531	81.6
e23-prod-rtt71-cap10MB-r3	prod	71	10000000	72.96	72.96	7359	3.6006	0.4893	0.2459	67108864	67108864	86070	0	0	1344.8	1.0001	779.7	53.6529	0.67066	82.6
e23-raw64-rtt71-cap10MB-r3	raw	71	10000000	12.45	12.42	43116	4.3495	0.1009	0.0426	67108864	67108864	86905	0	0	1357.9	1.0098	772.2	64.8124	0.81016	34.4
e23-prod-rtt12-uncap-r1	prod	12	0	501.80	501.80	1070	3.6376	3.3999	1.1646	67108864	67108864	87519	0	0	1367.5	1.0169	766.8	54.2043	0.67755	525.4
e23-raw64-rtt12-uncap-r1	raw	12	0	466.16	434.08	1152	3.4875	3.0281	1.0770	67108864	67108864	87173	0	0	1362.1	1.0129	769.8	51.9672	0.64959	492.0
e23-prod-rtt12-uncap-r2	prod	12	0	489.22	489.22	1097	3.4905	3.1807	1.1669	67108864	67108864	86898	0	0	1357.8	1.0097	772.3	52.0130	0.65016	539.0
e23-raw64-rtt12-uncap-r2	raw	12	0	462.46	433.69	1161	3.4947	3.0103	1.0641	67108864	67108864	86051	0	0	1344.5	0.9999	779.9	52.0752	0.65094	490.8
e23-prod-rtt12-uncap-r3	prod	12	0	499.83	499.83	1074	3.7349	3.4772	1.2039	67108864	67108864	88757	0	0	1386.8	1.0313	756.1	55.6539	0.69567	534.0
e23-raw64-rtt12-uncap-r3	raw	12	0	401.46	380.11	1337	3.6189	2.7062	1.0281	67108864	67108864	89083	0	0	1391.9	1.0351	753.3	53.9264	0.67408	471.8
