File: benchdirect
Type: cpu
Time: 2026-09-18 18:56:30 EDT
Duration: 12.34s, Total samples = 3.12s (25.29%)
Showing nodes accounting for 2.95s, 94.55% of 3.12s total
Dropped 140 nodes (cum <= 0.02s)
Showing top 30 nodes out of 163
      flat  flat%   sum%        cum   cum%
     1.09s 34.94% 34.94%      1.09s 34.94%  syscall.rawsyscalln
     0.64s 20.51% 55.45%      0.64s 20.51%  runtime.kevent
     0.29s  9.29% 64.74%      0.29s  9.29%  runtime.memclrNoHeapPointers
     0.23s  7.37% 72.12%      0.23s  7.37%  runtime.pthread_cond_wait
     0.22s  7.05% 79.17%      0.22s  7.05%  runtime.pthread_cond_signal
     0.14s  4.49% 83.65%      0.14s  4.49%  runtime.usleep
     0.07s  2.24% 85.90%      0.07s  2.24%  runtime.tryDeferToSpanScan
     0.05s  1.60% 87.50%      0.05s  1.60%  runtime.nextFreeFast
     0.04s  1.28% 88.78%      0.04s  1.28%  runtime.pthread_kill
     0.02s  0.64% 89.42%      0.02s  0.64%  internal/poll.(*pollDesc).wait
     0.02s  0.64% 90.06%      0.02s  0.64%  runtime.(*mspan).init
     0.02s  0.64% 90.71%      0.02s  0.64%  runtime.getMCache (inline)
     0.02s  0.64% 91.35%      0.07s  2.24%  runtime.lock2
     0.02s  0.64% 91.99%      0.03s  0.96%  runtime.scanObjectsSmall
     0.02s  0.64% 92.63%      0.11s  3.53%  runtime.stealWork
     0.01s  0.32% 92.95%      0.02s  0.64%  github.com/pion/dtls/v3.(*Conn).handleIncomingPacket
     0.01s  0.32% 93.27%      0.02s  0.64%  github.com/pion/sctp.(*Association).movePendingDataChunkToInflightQueue
     0.01s  0.32% 93.59%      0.37s 11.86%  github.com/pion/transport/v4/netctx.(*packetConn).WriteToContext
     0.01s  0.32% 93.91%      0.03s  0.96%  runtime.(*timers).check
     0.01s  0.32% 94.23%      0.12s  3.85%  runtime.makeslice
     0.01s  0.32% 94.55%      0.24s  7.69%  runtime.stopm
         0     0% 94.55%      0.02s  0.64%  github.com/chromedp/chromedp.(*ExecAllocator).Allocate.func2
         0     0% 94.55%      0.03s  0.96%  github.com/pion/datachannel.(*DataChannel).WriteDataChannel
         0     0% 94.55%      0.46s 14.74%  github.com/pion/dtls/v3.(*Conn).Write
         0     0% 94.55%      0.04s  1.28%  github.com/pion/dtls/v3.(*Conn).handshake.func3
         0     0% 94.55%      0.09s  2.88%  github.com/pion/dtls/v3.(*Conn).processPacket
         0     0% 94.55%      0.04s  1.28%  github.com/pion/dtls/v3.(*Conn).readAndBuffer
         0     0% 94.55%      0.46s 14.74%  github.com/pion/dtls/v3.(*Conn).writePackets
         0     0% 94.55%      0.05s  1.60%  github.com/pion/dtls/v3/pkg/protocol.(*ApplicationData).Marshal
         0     0% 94.55%      0.08s  2.56%  github.com/pion/dtls/v3/pkg/protocol/recordlayer.(*RecordLayer).Marshal
